O*NET-SOC Code,Title,ANALYTICAL,Fluency of Ideas,Originality,Problem Sensitivity,Deductive Reasoning,Inductive Reasoning,Information Ordering,Category Flexibility,Innovation,Analytical Thinking,Critical Thinking,Active Learning,Learning Strategies,Complex Problem Solving,Operations Analysis,"Judging the Qualities of Things, Services, or People",Analyzing Data or Information,Making Decisions and Solving Problems,Thinking Creatively,Updating and Using Relevant Knowledge,Developing Objectives and Strategies
51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",NA,2.25,1.75,3.12,2.88,2.88,3.25,3,3.33,3.14,2.88,2.25,2,2.75,1,3.66,1.77,3.59,2.2,3.9,2.36
39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",0,3.12,3.12,3.12,3.12,3,3,3,3.93,3.23,3.5,3,3,2.88,1.88,2.31,2.89,4.09,4.44,4.87,2.35
47-4041.00,Hazardous Materials Removal Workers,NA,2.88,2.75,4,3.62,3.25,3.25,3.5,3.64,3.93,3.62,3,2.25,3,1.12,3.61,3.47,3.47,3.03,4.35,3.17
21-1091.00,Health Educators,NA,3.5,3.38,3.38,3.88,3.75,3,3.12,3.89,3.7,4,3.38,3.88,3.38,3.12,3.24,3.24,4.51,4.75,4.81,4.33
25-1071.00,"Health Specialties Teachers, Postsecondary",NA,3.38,3.62,3.62,4,4,3.75,3.5,4,4.65,4.38,4.12,4.12,4,2.5,4.65,4.17,5.25,4.54,5.56,3.7
21-1022.00,Healthcare Social Workers,NA,3.88,3.62,4.38,4.25,4,3.38,3.62,3.72,3.88,4.12,3.88,3.75,3.62,3.25,3.76,3.08,4.68,4.24,4.84,3.52
29-2092.00,Hearing Aid Specialists,NA,2.75,2.75,3.38,3.25,3.38,2.88,3,3.92,4.15,3.75,3.38,3,3.25,1.12,3.81,4.75,5.1,4.65,5.92,4.21
51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",NA,1.88,1.88,3.12,3,2.88,3.25,3.38,3.22,3.48,3,2.62,2.75,2.62,1.62,2.98,2.34,2.91,2.28,3.27,1.84
49-9021.01,Heating and Air Conditioning Mechanics and Installers,NA,2.75,2.75,3.62,3.38,3.38,3.62,2.88,3.85,4.36,3.25,3,2.5,3,2.12,4.15,4.38,4.62,4.01,5.05,3.59
53-3032.00,Heavy and Tractor-Trailer Truck Drivers,NA,2.12,2.25,3,3,3,3.12,3,3,3.07,3,2.25,2.12,2.88,1.12,3.81,3.45,4.42,3.51,4.03,3.38
47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",NA,1.88,1.75,2.5,2.25,2,2.38,2.38,3.03,2.56,2.38,2.12,2.12,2.38,0.88,3.33,2.55,4.59,3.92,3.87,2.91
47-3012.00,Helpers--Carpenters,NA,2.25,2.38,3,2.88,2.25,2.75,2.75,4.1,3.78,2.75,2.12,2,2.12,0.62,3.1,2.42,3.72,3.14,3.85,2.23
47-3013.00,Helpers--Electricians,NA,1.88,2,3,2.75,2.88,3,2.75,4.26,3.56,2.75,2.38,1.88,2.38,0.5,2.31,1.8,3.72,2.54,4.78,2.25
47-5081.00,Helpers--Extraction Workers,NA,2.25,2.25,3,2.88,2.88,2.88,2.88,3.12,3.02,2.88,2.62,2.25,2.62,0,3.8,4.43,4.97,3.62,4.28,4.45
49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers",NA,2.25,2,2.88,2.88,2.88,3,2.88,2.73,3.14,3.12,2.62,2.25,2.38,0.75,3.18,2.85,3.62,2.98,4.22,2.48
47-3014.00,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",NA,1.63,1.88,2.38,2.25,2.25,2.13,2.38,2.96,2.81,2.25,2,2.12,2.12,0,2.08,1.98,3.03,2.15,2.96,1.99
47-3015.00,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",NA,2,2,2.62,2.75,2.5,3,2.75,3.15,3.83,2.38,1.88,1.88,2,0.25,4.21,1.43,4.77,4.76,4.22,4.03
51-9198.00,Helpers--Production Workers,NA,1.62,1.62,2.75,2.62,2.75,2.62,2.75,2.65,2.82,2.25,1.88,1.88,2,0.62,2.96,2.44,3.14,2.21,3.26,1.96
47-3016.00,Helpers--Roofers,NA,2.12,1.75,2.88,2.5,2.38,2.25,2.5,3.05,3.29,2.25,2.12,2.25,2.62,0,2.99,3.75,4.78,4.54,4.82,3.29
47-4051.00,Highway Maintenance Workers,NA,2,2,3,2.88,2.88,2.88,2.88,2.97,3.17,2.75,2.12,1.75,2.75,0.12,3.7,3.12,3.02,3.23,4.04,3.32
19-3093.00,Historians,NA,3.5,3.12,3.5,3.62,3.88,3.25,3.38,3.49,3.53,4.12,3.75,3.62,3.12,1.88,4.07,4.32,4.53,4.84,4.6,3.74
25-1125.00,"History Teachers, Postsecondary",NA,3.38,3.12,3.25,3.88,4.12,3.88,3.12,3.95,4.49,4,4.12,4.25,3.5,2.62,4.88,4.19,4.46,5.26,5.15,3.89
29-2011.03,Histotechnologists and Histologic Technicians,NA,2.38,2.12,3.88,3.12,3,3.75,3.5,3.35,3.88,3.25,3,3,3.12,0.12,3.12,3.08,4.15,3.08,4.72,2.55
53-7041.00,Hoist and Winch Operators,NA,2.13,2.13,2.88,2.38,2.63,2.88,2.63,3.07,3.26,2.62,2.12,2.5,2.38,1.12,3.31,2.34,3.98,2.76,3.77,3.77
49-9031.00,Home Appliance Repairers,NA,2.75,2.12,3.12,3,3,3,3,3,4.01,3.25,2.25,2.12,3,1.62,3.06,3.01,3.87,2.66,5.09,2.37
25-1192.00,"Home Economics Teachers, Postsecondary",NA,3,3.25,3.38,4,3.88,3.38,3.25,4.2,4.38,4,4.12,4.38,3.38,2.5,3.76,4.23,4.91,5.04,5.98,4.89
31-1011.00,Home Health Aides,NA,2.88,2.88,3.5,3.12,3.12,3,2.88,3.29,3.33,3.25,3,3,3,0.25,3.03,2.89,3.74,3.24,4.16,2.32
29-1069.03,Hospitalists,NA,3.88,3.5,5.25,5,5.25,4.12,4.25,2.84,4.24,4.5,4.5,4,4.12,2,3.88,4.76,5.64,3.72,5.68,3.32
35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",0,1.75,1.75,2.88,2.75,2.62,2.62,2.5,2.23,2.46,2.62,2.38,2.12,1.75,0,2.21,1.67,2.77,2.58,2.34,1.42
43-4081.00,"Hotel, Motel, and Resort Desk Clerks",NA,3,2.38,3,3,3,3,3,3.26,3.43,3.5,2.25,2.62,2.75,0,2.88,3.18,3.85,2.88,3.7,2.52
17-2112.01,Human Factors Engineers and Ergonomists,NA,4,3.88,4.5,4.88,4.5,4,4,4.04,4.79,4.38,4,3.75,4.12,3.5,3.79,5.46,5.48,5.75,5.71,4.04
43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",NA,2.62,2.25,3.25,3.12,3,3.12,2.88,3.1,3.38,3.62,3.12,2.88,2.75,1.25,3.54,4.51,4.6,3.38,4.68,3.45
11-3121.00,Human Resources Managers,NA,4,3.88,4,4.12,4,3.38,3.75,3.58,4.12,4.12,4,3.75,3.75,2,4.96,4.79,5.46,4.33,5.38,4.54
13-1071.00,Human Resources Specialists,NA,3.12,3.12,3.62,4,3.62,3.5,3.5,3.84,3.94,4,3.25,3.12,3.12,0.62,4,4,4.17,3.68,4.15,3.46
45-3021.00,Hunters and Trappers,NA,2.25,2.25,2.88,3,3,2.62,3,3.96,3.57,2.88,1.88,1.75,2.75,1.25,2.18,2.14,3.95,3.96,3.78,3.05
51-8099.04,Hydroelectric Plant Technicians,NA,2.88,2.62,4,3.62,3.62,3.5,3.25,3.74,3.94,3.25,3.12,2.62,3.12,1.12,3.81,3.5,4.57,4.34,5.23,2.87
11-3051.06,Hydroelectric Production Managers,NA,3.38,3.25,4.12,3.88,3.75,4,3.62,3.68,4.19,4,3.62,3.75,3.75,2,4.33,4.24,5.1,4.23,4.81,4.12
19-2043.00,Hydrologists,NA,4.12,4.12,4.25,4.5,4.62,3.88,4,3.65,4.52,4.5,4.38,3.38,4.12,2.62,4.14,6,5.45,5.23,5.5,4.5
33-3021.05,Immigration and Customs Inspectors,NA,2.88,2.38,4.12,4,4,3.38,3.12,2.97,3.84,3.88,3.12,2.88,3,0.62,5.15,5.23,5.26,3.91,5.38,3.43
19-2041.03,Industrial Ecologists,1,4,4,4.5,4.88,4.5,4,4.25,4,4.83,4.38,4.12,3.5,4.12,2.62,4.46,5.96,5.17,5.54,5.88,4.5
17-3026.00,Industrial Engineering Technicians,NA,3.75,3.62,3.88,4,4,3.75,3.75,3.75,4.3,3.88,3.62,3,3.88,3.25,3.26,3.46,4.84,5.18,4.58,3.18
17-3029.05,Industrial Engineering Technologists,NA,3.5,3.62,3.75,4.25,3.62,3.62,3.75,4.12,4.01,4,3.25,2.88,3.62,3.38,4.05,3.81,4.31,4.1,4.2,2.82
17-2112.00,Industrial Engineers,NA,3.5,3.5,4,3.88,4,3.75,3.62,4.14,4.45,4.12,3.62,3.12,4,2,3.84,4.67,5.02,5.16,5.02,3.19
49-9041.00,Industrial Machinery Mechanics,NA,2.62,2.5,3.12,3,3,3.88,3,3.64,3.89,3.5,3,3,3,2.12,2.98,2.1,3.4,3.08,3.99,1.67
11-3051.00,Industrial Production Managers,NA,3.75,3.88,4,4.25,4,3.75,3.5,3.85,4.12,4.12,4,3.88,3.75,2.88,4.71,4.24,5.24,4.77,4.7,4.03
17-2111.01,Industrial Safety and Health Engineers,NA,4.12,3.88,5,4.88,4.88,4.12,4,3.65,4.16,4.25,4.38,3.75,4.12,3.25,3.77,4.26,5.07,4.03,4.84,3.9
53-7051.00,Industrial Truck and Tractor Operators,NA,1.88,1.75,3,2.62,2.12,2.38,2.38,3.43,3.26,2.38,1.75,1.75,2,0.75,3.51,2.6,3.85,2.85,3.35,2.84
19-3032.00,Industrial-Organizational Psychologists,1,4.12,4,4.12,4.62,4,3.88,3.88,4.2,4.77,4.25,4.12,4,4,3.38,5.41,5.64,5.22,5.17,5.03,4.47
15-1121.01,Informatics Nurse Specialists,NA,4.12,4.12,4,4.75,4,4,4,4,4.45,4.25,4.62,4.12,4.12,3.25,4.3,5.3,5.45,5.15,5.8,4.35
15-1122.00,Information Security Analysts,1,3.75,3.25,4.12,4.12,4.12,3.88,3.62,3.7,4.44,4.12,3.88,3.12,3.62,2.5,3.67,4.84,4.62,4.7,5.73,3.62
15-1199.09,Information Technology Project Managers,NA,3.5,3.38,3.75,4.25,3.62,3.62,3.5,3.32,4.13,4.25,3.62,3.12,3.75,2.12,4.26,4.94,4.97,4.55,5.06,4.1
51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers",NA,2.12,2,3,3.12,3,3,3.12,3.03,3.36,3.38,2.25,1.88,2.62,1.25,3.73,2.58,3.41,2.5,3.46,1.99
25-9031.00,Instructional Coordinators,NA,3.75,3.75,4,4.12,4.12,3.88,3.5,4.24,4.12,4.12,4.12,4.75,3.88,1.5,4.18,5.16,5.12,4.82,5.33,4.72
25-9031.01,Instructional Designers and Technologists,NA,3.88,3.88,4,4,4,3.62,3.5,4.52,4.52,4.12,4.12,4.25,3.75,1.62,3.78,4.57,4.83,5.57,5.91,4.65
47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall",NA,2.12,2.12,2.75,2.5,2.12,2.88,2.88,3.63,3.55,2.75,2.12,2,2.12,1.12,2.34,1.99,3.22,3.21,3.1,1.54
47-2132.00,"Insulation Workers, Mechanical",NA,2.25,2.25,3.25,2.88,2.88,2.75,3,3.98,4.08,2.88,2.75,2.25,2.62,1.62,3.44,2.46,3.55,3.62,2.71,2.92
13-1031.02,"Insurance Adjusters, Examiners, and Investigators",NA,2.5,2.25,3.5,3.62,3.75,3.38,3.12,2.89,4.06,4.25,3.38,2.12,3,2.12,4.15,4.06,4.01,2.62,4.46,1.63
13-1032.00,"Insurance Appraisers, Auto Damage",NA,2.62,2.62,3.62,3.75,3.5,3.12,3.12,2.99,3.12,3.75,3,1.5,2.88,1.38,4.15,4.19,4.38,2.97,4.55,2.62
43-9041.01,Insurance Claims Clerks,NA,1.88,1.75,3,3.5,3.12,3.38,2.88,3.11,3.67,3.5,2.5,2.12,2.88,0.12,2.04,2.38,3.58,1.67,4.31,1.61
43-9041.02,Insurance Policy Processing Clerks,NA,1.88,1.88,3,3.12,3,3,3,2.71,3.28,3.5,2.75,2,2.75,0.38,2.84,3.24,3.82,2.51,4.18,1.9
41-3021.00,Insurance Sales Agents,NA,3,3,3.5,3.62,3.25,3,3.25,3,3.96,3.88,3.38,2.75,3.12,1.5,3.4,3.76,3.94,4.09,4.13,3.38
13-2053.00,Insurance Underwriters,NA,2.75,2.75,3.75,3.75,3.88,3.38,3.25,2.7,4.57,3.88,3.38,3,3.12,1.75,3.87,4.77,4.67,3.2,4.47,2.38
33-3021.06,Intelligence Analysts,1,3.75,3.5,4.38,4.5,4.62,3.88,3.88,4.06,4.91,4.25,3.38,2.88,3.62,1.62,4.61,6.22,5.09,5.03,5.75,4.56
27-1025.00,Interior Designers,NA,4,4,3.75,3.88,3.25,3.5,3.75,4.52,3.86,4,3.25,2.62,3.5,3.25,3.71,3.38,4.71,5.52,4.9,3.67
29-1063.00,"Internists, General",NA,3.88,3.5,5.5,4.75,5.62,4,4,3.6,4.71,4.62,4.38,3.62,4.12,3.75,4.11,5.61,6.4,4.62,6.4,4.93
27-3091.00,Interpreters and Translators,NA,3,2.88,3.5,3.12,3,3.62,3,3.6,3.84,3.75,3.12,3.25,3,0.75,3.04,3.57,4.39,3.9,5.35,3.33
43-4111.00,"Interviewers, Except Eligibility and Loan",NA,2.38,2.38,2.62,3.12,3,3,2.88,2.64,2.68,3.25,2.75,2.75,2.88,1.5,2.01,2.19,1.81,1.71,2.27,0.99
11-9199.03,Investment Fund Managers,1,3.62,3.5,4.25,4.38,4.12,3.88,3.75,3.35,4.79,4,3.88,3.12,3.88,1.62,4.85,5.94,5.49,4.83,5.2,4.17
37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",NA,1.62,1.62,2.75,2.62,2.62,2.75,2.62,2.72,2.94,2.12,2,0.88,2,0.38,1.91,1.44,2.91,1.89,2.27,1.48
51-9071.01,Jewelers,NA,3,3.12,3,3.25,3,3.12,3.88,4.17,4.04,3.12,3.12,2.62,3,3,4.12,2.42,3.96,4.75,4.33,2.09
23-1023.00,"Judges, Magistrate Judges, and Magistrates",1,3.75,3.12,4.12,5,5,3.75,3.38,3.26,4.55,5.62,4.88,3.25,4.75,2.62,4.68,4.73,6.26,4.09,5.94,2.8
23-1012.00,Judicial Law Clerks,NA,2.88,2.88,3.75,3.88,3.88,3.62,3.38,3.05,4.65,4.25,4,2.88,3.75,0.75,3.29,4.7,4.74,3.04,4.68,1.5
25-2012.00,"Kindergarten Teachers, Except Special Education",NA,3.38,3.38,3.62,3.62,3.62,3.12,3.12,4.18,4.09,3.75,3.12,3.88,3.12,0.88,2.96,3.97,4.52,4.81,4.79,4.49
13-1075.00,Labor Relations Specialists,NA,3.62,3.75,4,4.25,3.75,3.25,3.12,3.9,4.5,4,3.88,3.38,3.62,0.88,4.6,4.6,5.35,4.65,4.9,4.42
53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand",NA,1.88,1.75,2.75,2.5,2.5,2.5,2.62,2.43,2.67,2.38,2,1.75,2.25,0.38,2.71,1.9,2.6,1.49,2.46,1.57
17-1012.00,Landscape Architects,NA,4,3.88,3.88,4,4,4,3.88,4.18,3.86,3.75,3.75,3,3.75,4,4.07,4,5.43,5.82,5.18,4.11
37-3011.00,Landscaping and Groundskeeping Workers,0,1.88,1.88,2.88,2.38,2.5,2.62,2.38,3.05,3.2,1.88,2,1.88,2.12,0.25,2.72,1.5,3.41,3.39,3.6,1.87
51-4034.00,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0,2,2,3,2.75,2.62,2.88,2.62,3.35,3.32,3,2,1.75,2.5,0.88,3.62,2.99,4,3.38,4.12,2.34
51-6011.00,Laundry and Dry-Cleaning Workers,0,2,2,2.62,2.75,2.5,2.38,2.62,2.9,2.9,2.5,2.12,2.12,2.25,0.88,2.21,1.32,2.7,1.43,1.56,1.41
25-1112.00,"Law Teachers, Postsecondary",NA,3.62,3.62,3.75,4.62,4.38,3.62,3.75,3.73,4.7,4.88,4.75,4.25,3.75,1.88,4.57,4.55,4.81,5.24,5.96,4.52
23-1011.00,Lawyers,NA,3.88,3.75,4,4.38,4.25,3.88,3.75,3.35,4.64,4.88,4.25,3.12,4,2.38,4.33,4.61,5.5,5.08,5.37,3.45
51-4192.00,"Layout Workers, Metal and Plastic",0,2.75,2.25,3.25,3.12,3,3.12,3.25,3.64,3.77,3.12,2.62,2,2.88,2,3.71,3.51,4.26,4.23,4.37,3.36
43-6012.00,Legal Secretaries,NA,2.62,2.25,3.12,3,2.88,3,3,3.07,3.81,3.12,2.75,2,2.62,0.25,2.04,3.01,2.65,2.22,4.11,2.16
25-4021.00,Librarians,NA,3.12,3,3.38,3.62,3.75,4,4,3.9,4.02,3.75,3.25,3.38,3.12,2.88,3.55,3.65,4.1,4.22,4.99,3.7
43-4121.00,"Library Assistants, Clerical",0,2.12,2,2.88,2.62,2.75,3.12,3,3.37,3.33,2.88,2.12,2.12,2.12,0.25,2.8,2.69,3.19,3.43,4.32,2.25
25-1082.00,"Library Science Teachers, Postsecondary",NA,3.38,3.5,3.5,4.12,4,3.88,3.62,3.96,4.59,4.12,4.12,4.25,3.75,2.25,5.41,5.4,5.57,6.23,6.37,4.76
25-4031.00,Library Technicians,NA,2.12,2.12,3,3,2.88,3,3,3.46,3.74,3.25,2.88,2.88,2,1,2.79,1.9,2.85,2.97,3.43,1.61
43-4031.03,License Clerks,0,1.88,2.12,2.88,3,3,3,2.75,3.08,3.66,3.12,3,2.25,2.38,1.88,1.4,2.18,2.89,1.77,3.88,1.39
29-2061.00,Licensed Practical and Licensed Vocational Nurses,NA,3,2.88,4,3.75,3.75,3.5,3,3.73,4.16,4,3.12,3,3.12,2.12,3.72,3.78,4.84,3.29,5.5,3.58
13-1041.02,Licensing Examiners and Inspectors,NA,3,3,3.62,3.62,3.88,3.25,3,3.34,4.23,3.88,3,2.75,3,1.25,2.99,4.2,4.44,3.02,4.11,3.02
33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",NA,1.88,2,4.12,3.12,3,3,2.75,2.61,3.18,3.38,2.75,2.88,2.62,0.38,2.43,1.6,3.45,1.62,2.78,1.39
53-3033.00,Light Truck or Delivery Services Drivers,NA,1.62,1.75,2.75,2.75,2.5,2.75,2.5,2.74,2.88,2.88,2.12,1.75,2,0.75,2.88,2.48,2.76,2.28,2.88,1.7
53-7033.00,"Loading Machine Operators, Underground Mining",NA,1.12,1.25,2.75,2.62,2.62,3,3.12,2.87,2.83,2.75,1.75,1.25,2.5,1,2.63,1.5,1.95,2.04,2.34,1.61
13-2071.01,Loan Counselors,NA,3.25,3,3.62,4,3.62,3.75,3.12,2.86,3.4,4,3.62,3.5,3,2,3.41,3.16,2.87,2.85,3.95,2.5
43-4131.00,Loan Interviewers and Clerks,NA,3,2.75,3.38,3.75,3.5,3.62,3.25,3.16,3.51,4,3.5,2.75,3,2.12,2.19,4.39,4.72,3.74,4.64,2.91
13-2072.00,Loan Officers,NA,2.25,2.12,3.38,3.88,3.62,3.25,3.12,3.65,4.24,4,3.12,2.62,3.25,1.75,3.04,3.87,4.37,3.34,4.65,2.86
39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",0,1.62,0.88,2.88,2.62,2.38,2.62,2.25,2.96,2.6,2.75,2,0.38,2,0.25,2.25,0.9,2.23,1.79,1.89,0.69
49-9094.00,Locksmiths and Safe Repairers,NA,2.38,2.38,2.88,2.75,2.62,3.25,2.75,3.61,4,3.12,2.5,2.38,2.62,0.38,4,3.39,4.39,4.04,5,2.52
53-4011.00,Locomotive Engineers,NA,2,2,3.38,3.12,3.12,3.25,2.75,3.26,3.74,3.12,3,3,3,1.12,3.37,3.95,4.18,3.08,3.64,2.86
53-4012.00,Locomotive Firers,NA,2.12,2.12,3.5,3.25,3.12,3,2.62,2.85,3.55,2.75,2.5,2.5,2.62,0.5,2.5,2.65,4.1,2.45,4.15,1.8
11-9081.00,Lodging Managers,NA,3.5,3.62,3.75,3.88,3.25,3.12,3,4.09,4.52,3.88,3.88,3.62,3.25,1,3.22,3.7,5.05,4.14,3.6,4.07
45-4023.00,Log Graders and Scalers,NA,2.38,2.12,3,3,3,3,3.75,3.31,3.4,3,2.75,2.12,2.75,0.62,4.19,3.28,4.75,3.08,3.53,3.13
45-4022.00,Logging Equipment Operators,NA,2,2.12,2.88,2.75,2.38,3,3,3.2,3.27,2.75,2.12,2,2.12,0.5,4.04,2.55,4.77,3.87,3.78,3.5
13-1081.00,Logisticians,NA,3.75,3.88,4.12,4.62,4,3.88,3.5,3.62,4.25,4.12,3.5,3.5,3.88,4,3.5,4.58,5.12,4.12,4.78,4.38
13-1081.02,Logistics Analysts,1,3.5,3.88,3.88,4,3.75,3.75,4,3.88,4.44,4,4,3.25,3.75,2.5,4.08,5.27,5.15,4.42,5,4.58
13-1081.01,Logistics Engineers,NA,4,4,4.12,4.12,4.12,3.75,3.75,3.68,4.27,4.12,4,3.62,3.88,3.5,3.9,5,4.95,4.77,5.14,4.18
11-3071.03,Logistics Managers,NA,3.5,3.38,4.12,4.25,3.88,3.62,3.88,3.67,4.23,4.25,4.12,3.38,3.88,2.75,4.23,4.6,4.87,4.38,4.8,4.33
11-9199.08,Loss Prevention Managers,NA,3.5,3.5,4.12,4,3.88,3.38,3,3.75,4.25,4,3.62,3.38,3.62,1.75,4.44,4.58,4.58,4.17,4.79,4.44
29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",NA,3.25,3.38,4,3.88,3.88,3.5,3.12,4.12,3.88,4,3.75,3.62,3.25,0.12,3.28,3.12,4.46,4.08,4.62,4.48
53-7063.00,Machine Feeders and Offbearers,NA,1.88,1.75,2.75,2.75,2.75,2.88,2.88,2.83,2.81,2.62,2,1.75,2.12,0.38,2.33,1.85,2.88,1.63,2.41,1.38
51-4041.00,Machinists,NA,2.88,3.12,3.25,3.12,3.12,3.25,3.38,3.34,3.22,3.12,2.88,2.62,3,2,3.24,2.81,3.88,3.64,3.76,2.51
29-2035.00,Magnetic Resonance Imaging Technologists,NA,3,3,3.25,3.62,3.62,3.62,3,3.52,3.78,3.62,3,3,3.12,0.38,3.38,3.54,4.31,3.73,5.08,2.69
37-2012.00,Maids and Housekeeping Cleaners,0,1.5,1.5,2.25,2.38,2.38,2.12,2.25,3.29,2.74,2.12,1.25,1.38,2,0.12,2.37,2.44,2.73,2.3,2.42,2.06
43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service",NA,2,2,3,2.75,2.75,2.88,2.75,2.93,2.75,2.88,2.12,2,1.88,0.12,2.69,1.39,2.05,2.17,1.9,0.94
49-9071.00,"Maintenance and Repair Workers, General",NA,2.25,2.12,3.25,3.12,3.12,3.88,3.12,3.53,3.61,3.12,3.12,2.25,3,2,2.67,1.75,2.8,2.67,3.01,1.65
49-9043.00,"Maintenance Workers, Machinery",NA,2.25,2.12,3,3,3,3,2.88,4,3.86,3,2.12,1.88,2.88,1.75,2.59,2.52,3.53,3.87,3.53,2.05
39-5091.00,"Makeup Artists, Theatrical and Performance",NA,3.62,3.88,3.12,3.25,3,3.25,3.38,4.22,3.65,3.25,3.25,2.5,2.75,2.62,2.38,1.83,3.86,5.23,4.91,2.73
13-1111.00,Management Analysts,1,3.75,3.5,4.12,4.25,4.12,4,3.5,4.31,4.81,4.12,3.75,3.5,4,4.12,5.31,5.76,5.81,5.23,5.54,5.5
39-5092.00,Manicurists and Pedicurists,0,2,2.12,2.5,2.38,2.25,2.12,2.5,3.04,2.76,2.5,2.25,1.88,2,0.5,2.87,0.69,1.75,2.4,2.39,1.33
49-9095.00,Manufactured Building and Mobile Home Installers,NA,2.88,2.88,3.25,3.63,3.25,3.5,3,4.12,3.87,3.25,3,3.12,3.25,2,4.46,2.98,5.9,5.4,5.56,3.45
17-3029.06,Manufacturing Engineering Technologists,NA,4.12,4,4,4.88,4.12,4.12,4.62,4.18,4.41,4.12,4.12,3.38,4.12,3.88,4,4.59,4.68,4.95,5.59,3.67
17-2199.04,Manufacturing Engineers,NA,4.12,4.12,4.38,4.88,4.38,4.12,4.38,3.92,4.42,4,4.5,3.88,4.25,3.88,4.31,4.58,5,4.88,4.92,3.8
17-3029.09,Manufacturing Production Technicians,NA,2.88,2.88,3.75,3.25,3.12,3.25,3.12,3.74,4.22,3.12,3,3,3,2.75,3.35,3.74,4.52,4.35,4.74,3
17-3031.02,Mapping Technicians,NA,3.12,3,3.12,3.62,3.25,4,3.12,3.21,4.04,3.12,3,3,3,2.38,2.86,4.63,3.69,3.38,4.55,2.89
17-2121.02,Marine Architects,NA,4.38,4.12,4.38,4.88,4.25,4.5,4.25,3.91,4.64,4.38,4.5,2.75,4.25,4.5,3.45,4.53,4.81,5.07,4.9,3.16
17-2121.01,Marine Engineers,NA,3.75,4,4.25,5.12,4.5,4.62,4.25,3.7,4.17,4.38,4.38,3.25,4.12,4.25,4.3,4.74,4.96,4.96,5.35,3.22
13-1161.00,Market Research Analysts and Marketing Specialists,1,4,3.38,3.88,4.38,4.25,3.88,3.75,3.83,4.96,4,4,3,3.75,3.12,4.18,6.22,5.39,5.09,5.78,4.7
11-2021.00,Marketing Managers,NA,4.25,4,3.88,4.38,3.88,3.5,3.62,4.15,4,4.25,4.12,3.5,3.88,3.62,3.53,4.04,4.67,4.71,4.52,4.17
43-5081.02,Marking Clerks,0,1.75,1.75,2.38,2.5,2.63,2.38,2.63,3.46,3.13,2,2.12,1.5,2.25,1,2.05,1.21,2.3,2.4,2.87,1.4
21-1013.00,Marriage and Family Therapists,NA,3.75,3.38,4.25,4,4.25,3.38,3.25,3.25,3.52,4,4,3.75,4.12,3.5,3.74,4.27,5.5,5.27,5.01,4.78
31-9011.00,Massage Therapists,NA,2.75,2.75,3.25,3.25,3.12,2.88,2.75,3.63,3.83,3.25,3.12,2.75,2.75,1.62,2.63,3.3,4.23,3.73,4.4,3.3
17-2131.00,Materials Engineers,NA,3.75,4.12,4.25,4.62,4.38,4,4.62,4.15,4.64,4.38,4.5,3.5,4,4.25,4.67,5.72,5.26,5.67,5.64,4.38
19-2032.00,Materials Scientists,NA,3.62,4,4.12,4.25,4.12,3.75,4,4.27,4.71,4,3.88,3.12,4.12,4,4.15,5.91,5.35,5.85,6.04,4.47
53-5021.02,"Mates- Ship, Boat, and Barge",NA,2.88,3,3.62,3.25,3.25,3,3,3.48,3.72,3.25,3.12,2.38,3.12,1.75,4.12,3.57,4.87,4.27,4.31,2.91
25-1022.00,"Mathematical Science Teachers, Postsecondary",NA,3.38,3.5,3.25,4.12,4.12,3.38,3.12,3.45,4.48,4.38,4,4.12,3.75,2.38,3.69,3.93,4.52,4.7,5.18,4.67
15-2091.00,Mathematical Technicians,NA,3.4,2.6,3.4,4.8,2.8,3,2.6,NA,NA,5,4.83,3.83,4.23,3.66,3.16,5.83,4.66,4.5,4.66,2.33
15-2021.00,Mathematicians,NA,4.75,5,3.75,5.25,4.88,4.62,4,4.48,4.91,5,5.25,3.5,4.62,2.75,3.42,5.96,5.54,6,5.71,4.21
51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers",0,2.12,2.12,2.75,2.75,2.25,2.75,2.75,3.19,3.12,2.88,2.25,2.25,2.12,0.12,3.6,3.16,3.72,2.64,4.03,1.92
